customer_id,retention_action,urgency,recommended_discount,specific_action
CUST_000587,Immediate Retention Call,Critical,21,Address payment issues - offer alternative payment methods
CUST_000588,Loyalty Rewards Program,Normal,5,Enroll in loyalty points program
CUST_000589,Loyalty Rewards Program,Normal,5,Enroll in basic rewards program
CUST_000590,Loyalty Rewards Program,Normal,5,Enroll in loyalty points program
CUST_000591,Loyalty Rewards Program,Normal,5,Enroll in basic rewards program
CUST_000592,Loyalty Rewards Program,Normal,6,Enroll in VIP loyalty rewards program
CUST_000593,Immediate Retention Call,Critical,21,Address payment issues - offer alternative payment methods
CUST_000594,Loyalty Rewards Program,Normal,5,Enroll in basic rewards program
CUST_000595,Loyalty Rewards Program,Normal,5,Enroll in loyalty points program
CUST_000596,Loyalty Rewards Program,Normal,5,Enroll in loyalty points program
CUST_000597,Loyalty Rewards Program,Normal,5,Enroll in loyalty points program
CUST_000598,Loyalty Rewards Program,Normal,5,Enroll in enterprise loyalty program
CUST_000599,Immediate Retention Call,Critical,21,Re-engagement campaign - 613 days inactive
CUST_000600,Loyalty Rewards Program,Normal,5,Enroll in basic rewards program
CUST_000601,Loyalty Rewards Program,Normal,5,Enroll in basic rewards program
CUST_000602,Loyalty Rewards Program,Normal,5,Enroll in basic rewards program
CUST_000603,Loyalty Rewards Program,Normal,5,Enroll in enterprise loyalty program
CUST_000604,Loyalty Rewards Program,Normal,5,Enroll in loyalty points program
CUST_000605,Loyalty Rewards Program,Normal,6,Enroll in VIP loyalty rewards program
CUST_000606,Loyalty Rewards Program,Normal,5,Enroll in loyalty points program
CUST_000607,Immediate Retention Call,Critical,21,Re-engagement campaign - 513 days inactive
CUST_000608,Loyalty Rewards Program,Normal,5,Enroll in basic rewards program
CUST_000609,Immediate Retention Call,Critical,21,Re-engagement campaign - 392 days inactive
CUST_000610,Loyalty Rewards Program,Normal,5,Enroll in basic rewards program
CUST_000611,Loyalty Rewards Program,Normal,5,Enroll in basic rewards program
CUST_000612,Loyalty Rewards Program,Normal,6,Enroll in VIP loyalty rewards program
CUST_000613,Loyalty Rewards Program,Normal,5,Enroll in loyalty points program
CUST_000614,Loyalty Rewards Program,Normal,5,Enroll in basic rewards program
CUST_000615,Loyalty Rewards Program,Normal,5,Enroll in loyalty points program
CUST_000616,Loyalty Rewards Program,Normal,5,Enroll in basic rewards program
CUST_000617,Loyalty Rewards Program,Normal,5,Enroll in basic rewards program
CUST_000618,Loyalty Rewards Program,Normal,5,Enroll in basic rewards program
CUST_000619,Loyalty Rewards Program,Normal,5,Enroll in loyalty points program
CUST_000620,Loyalty Rewards Program,Normal,5,Enroll in basic rewards program
CUST_000621,Loyalty Rewards Program,Normal,5,Enroll in enterprise loyalty program
CUST_000622,Loyalty Rewards Program,Normal,5,Enroll in enterprise loyalty program
CUST_000623,Loyalty Rewards Program,Normal,5,Enroll in loyalty points program
CUST_000624,Loyalty Rewards Program,Normal,5,Enroll in basic rewards program
CUST_000625,Loyalty Rewards Program,Normal,5,Enroll in loyalty points program
CUST_000626,Loyalty Rewards Program,Normal,5,Enroll in loyalty points program
CUST_000627,Immediate Retention Call,Critical,21,Address payment issues - offer alternative payment methods
CUST_000628,Loyalty Rewards Program,Normal,5,Enroll in loyalty points program
CUST_000629,Loyalty Rewards Program,Normal,5,Enroll in loyalty points program
CUST_000630,Immediate Retention Call,Critical,21,Re-engagement campaign - 434 days inactive
CUST_000631,Immediate Retention Call,Critical,21,Re-engagement campaign - 432 days inactive
CUST_000632,Immediate Retention Call,Critical,21,Re-engagement campaign - 431 days inactive
CUST_000633,Loyalty Rewards Program,Normal,5,Enroll in basic rewards program
CUST_000634,Immediate Retention Call,Critical,21,Re-engagement campaign - 219 days inactive
CUST_000635,Immediate Retention Call,Critical,21,Re-engagement campaign - 102 days inactive
CUST_000636,Loyalty Rewards Program,Normal,5,Enroll in enterprise loyalty program
CUST_000637,Loyalty Rewards Program,Normal,5,Enroll in basic rewards program
CUST_000638,Loyalty Rewards Program,Normal,5,Enroll in basic rewards program
CUST_000639,Loyalty Rewards Program,Normal,6,Address payment issues - offer alternative payment methods
CUST_000640,Loyalty Rewards Program,Normal,5,Enroll in loyalty points program
CUST_000641,Immediate Retention Call,Critical,21,Re-engagement campaign - 245 days inactive
CUST_000642,Immediate Retention Call,Critical,21,Address payment issues - offer alternative payment methods
CUST_000643,Loyalty Rewards Program,Normal,5,Enroll in loyalty points program
CUST_000644,Loyalty Rewards Program,Normal,5,Enroll in basic rewards program
CUST_000645,Loyalty Rewards Program,Normal,5,Enroll in basic rewards program
CUST_000646,Loyalty Rewards Program,Normal,5,Enroll in basic rewards program
CUST_000647,Loyalty Rewards Program,Normal,5,Enroll in loyalty points program
CUST_000648,Loyalty Rewards Program,Normal,5,Enroll in basic rewards program
CUST_000649,Loyalty Rewards Program,Normal,5,Enroll in basic rewards program
CUST_000650,Loyalty Rewards Program,Normal,5,Enroll in loyalty points program
CUST_000651,Immediate Retention Call,Critical,21,Re-engagement campaign - 272 days inactive
CUST_000652,Loyalty Rewards Program,Normal,5,Enroll in loyalty points program
CUST_000653,Loyalty Rewards Program,Normal,5,Enroll in enterprise loyalty program
CUST_000654,Loyalty Rewards Program,Normal,5,Enroll in enterprise loyalty program
CUST_000655,Loyalty Rewards Program,Normal,5,Enroll in enterprise loyalty program
CUST_000656,Loyalty Rewards Program,Normal,5,Enroll in enterprise loyalty program
CUST_000657,Immediate Retention Call,Critical,21,Address payment issues - offer alternative payment methods
CUST_000658,Loyalty Rewards Program,Normal,5,Enroll in loyalty points program
CUST_000659,Immediate Retention Call,Critical,21,Re-engagement campaign - 237 days inactive
CUST_000660,Loyalty Rewards Program,Normal,5,Enroll in basic rewards program
CUST_000661,Immediate Retention Call,Critical,20,Address payment issues - offer alternative payment methods
CUST_000662,Loyalty Rewards Program,Normal,5,Enroll in basic rewards program
CUST_000663,Loyalty Rewards Program,Normal,5,Address payment issues - offer alternative payment methods
CUST_000664,Loyalty Rewards Program,Normal,5,Enroll in enterprise loyalty program
CUST_000665,Loyalty Rewards Program,Normal,5,Enroll in loyalty points program
CUST_000666,Loyalty Rewards Program,Normal,5,Enroll in loyalty points program
CUST_000667,Loyalty Rewards Program,Normal,6,Enroll in VIP loyalty rewards program
CUST_000668,Loyalty Rewards Program,Normal,5,Enroll in loyalty points program
CUST_000669,Loyalty Rewards Program,Normal,5,Enroll in loyalty points program
CUST_000670,Loyalty Rewards Program,Normal,5,Enroll in basic rewards program
CUST_000671,Loyalty Rewards Program,Normal,5,Enroll in loyalty points program
CUST_000672,Loyalty Rewards Program,Normal,5,Enroll in loyalty points program
CUST_000673,Loyalty Rewards Program,Normal,5,Enroll in loyalty points program
CUST_000674,Loyalty Rewards Program,Normal,5,Enroll in basic rewards program
CUST_000675,Loyalty Rewards Program,Normal,5,Enroll in basic rewards program
CUST_000676,Loyalty Rewards Program,Normal,5,Enroll in loyalty points program
CUST_000677,Immediate Retention Call,Critical,21,Re-engagement campaign - 159 days inactive
CUST_000678,Loyalty Rewards Program,Normal,5,Enroll in enterprise loyalty program
CUST_000679,Loyalty Rewards Program,Normal,5,Enroll in loyalty points program
CUST_000680,Loyalty Rewards Program,Normal,5,Address payment issues - offer alternative payment methods
CUST_000681,Loyalty Rewards Program,Normal,5,Enroll in basic rewards program
CUST_000682,Loyalty Rewards Program,Normal,5,Enroll in loyalty points program
CUST_000683,Loyalty Rewards Program,Normal,5,Enroll in basic rewards program
CUST_000684,Loyalty Rewards Program,Normal,5,Enroll in enterprise loyalty program
CUST_000685,Loyalty Rewards Program,Normal,5,Enroll in basic rewards program
CUST_000686,Loyalty Rewards Program,Normal,5,Enroll in basic rewards program
CUST_000687,Loyalty Rewards Program,Normal,5,Enroll in loyalty points program
CUST_000688,Loyalty Rewards Program,Normal,5,Enroll in enterprise loyalty program
CUST_000689,Loyalty Rewards Program,Normal,5,Enroll in loyalty points program
CUST_000690,Loyalty Rewards Program,Normal,5,Enroll in loyalty points program
CUST_000691,Loyalty Rewards Program,Normal,5,Enroll in basic rewards program
CUST_000692,Immediate Retention Call,Critical,21,Re-engagement campaign - 116 days inactive
CUST_000693,Loyalty Rewards Program,Normal,5,Enroll in basic rewards program
CUST_000694,Loyalty Rewards Program,Normal,5,Enroll in basic rewards program
CUST_000695,Immediate Retention Call,Critical,20,Address payment issues - offer alternative payment methods
CUST_000696,Loyalty Rewards Program,Normal,5,Enroll in basic rewards program
CUST_000697,Loyalty Rewards Program,Normal,5,Enroll in loyalty points program
CUST_000698,Loyalty Rewards Program,Normal,5,Enroll in enterprise loyalty program
CUST_000699,Loyalty Rewards Program,Normal,5,Enroll in basic rewards program
CUST_000700,Loyalty Rewards Program,Normal,5,Enroll in loyalty points program
CUST_000701,Loyalty Rewards Program,Normal,5,Enroll in basic rewards program
CUST_000702,Loyalty Rewards Program,Normal,5,Enroll in loyalty points program
CUST_000703,Loyalty Rewards Program,Normal,5,Enroll in loyalty points program
CUST_000704,Loyalty Rewards Program,Normal,5,Enroll in enterprise loyalty program
CUST_000705,Loyalty Rewards Program,Normal,5,Enroll in enterprise loyalty program
CUST_000706,Loyalty Rewards Program,Normal,5,Enroll in basic rewards program
CUST_000707,Loyalty Rewards Program,Normal,5,Enroll in basic rewards program
CUST_000708,Loyalty Rewards Program,Normal,6,Enroll in VIP loyalty rewards program
CUST_000709,Loyalty Rewards Program,Normal,5,Enroll in basic rewards program
CUST_000710,Immediate Retention Call,Critical,22,Re-engagement campaign - 159 days inactive
CUST_000711,Loyalty Rewards Program,Normal,5,Enroll in loyalty points program
CUST_000712,Loyalty Rewards Program,Normal,5,Enroll in basic rewards program
CUST_000713,Loyalty Rewards Program,Normal,5,Enroll in VIP loyalty rewards program
CUST_000714,Loyalty Rewards Program,Normal,6,Enroll in VIP loyalty rewards program
CUST_000715,Immediate Retention Call,Critical,20,Re-engagement campaign - 514 days inactive
CUST_000716,Loyalty Rewards Program,Normal,5,Enroll in loyalty points program
CUST_000717,Loyalty Rewards Program,Normal,5,Enroll in loyalty points program
CUST_000718,Loyalty Rewards Program,Normal,5,Enroll in basic rewards program
CUST_000719,Loyalty Rewards Program,Normal,5,Enroll in loyalty points program
CUST_000720,Loyalty Rewards Program,Normal,5,Enroll in loyalty points program
CUST_000721,Loyalty Rewards Program,Normal,5,Enroll in basic rewards program
CUST_000722,Loyalty Rewards Program,Normal,5,Enroll in loyalty points program
CUST_000723,Loyalty Rewards Program,Normal,5,Enroll in basic rewards program
CUST_000724,Loyalty Rewards Program,Normal,5,Enroll in enterprise loyalty program
CUST_000725,Loyalty Rewards Program,Normal,5,Enroll in loyalty points program
CUST_000726,Loyalty Rewards Program,Normal,5,Enroll in loyalty points program
CUST_000727,Loyalty Rewards Program,Normal,5,Enroll in loyalty points program
CUST_000728,Loyalty Rewards Program,Normal,5,Enroll in VIP loyalty rewards program
CUST_000729,Loyalty Rewards Program,Normal,5,Enroll in loyalty points program
CUST_000730,Loyalty Rewards Program,Normal,5,Enroll in loyalty points program
CUST_000731,Loyalty Rewards Program,Normal,5,Enroll in loyalty points program
CUST_000732,Loyalty Rewards Program,Normal,5,Enroll in loyalty points program
CUST_000733,Loyalty Rewards Program,Normal,5,Enroll in basic rewards program
CUST_000734,Loyalty Rewards Program,Normal,5,Enroll in loyalty points program
CUST_000735,Loyalty Rewards Program,Normal,5,Enroll in enterprise loyalty program
CUST_000736,Loyalty Rewards Program,Normal,5,Enroll in loyalty points program
CUST_000737,Loyalty Rewards Program,Normal,5,Enroll in loyalty points program
CUST_000738,Loyalty Rewards Program,Normal,5,Enroll in loyalty points program
CUST_000739,Loyalty Rewards Program,Normal,5,Enroll in enterprise loyalty program
CUST_000740,Loyalty Rewards Program,Normal,5,Enroll in loyalty points program
CUST_000741,Loyalty Rewards Program,Normal,5,Enroll in basic rewards program
CUST_000742,Loyalty Rewards Program,Normal,5,Enroll in basic rewards program
CUST_000743,Immediate Retention Call,Critical,20,Re-engagement campaign - 343 days inactive
CUST_000744,Loyalty Rewards Program,Normal,5,Enroll in loyalty points program
CUST_000745,Loyalty Rewards Program,Normal,5,Enroll in loyalty points program
CUST_000746,Loyalty Rewards Program,Normal,5,Enroll in basic rewards program
CUST_000747,Loyalty Rewards Program,Normal,5,Enroll in basic rewards program
CUST_000748,Loyalty Rewards Program,Normal,5,Enroll in loyalty points program
CUST_000749,Loyalty Rewards Program,Normal,5,Enroll in loyalty points program
CUST_000750,Loyalty Rewards Program,Normal,5,Enroll in enterprise loyalty program
CUST_000751,Loyalty Rewards Program,Normal,5,Enroll in loyalty points program
CUST_000752,Loyalty Rewards Program,Normal,5,Enroll in basic rewards program
CUST_000753,Loyalty Rewards Program,Normal,5,Enroll in basic rewards program
CUST_000754,Loyalty Rewards Program,Normal,5,Enroll in loyalty points program
CUST_000755,Loyalty Rewards Program,Normal,5,Enroll in enterprise loyalty program
CUST_000756,Loyalty Rewards Program,Normal,5,Enroll in loyalty points program
CUST_000757,Loyalty Rewards Program,Normal,5,Enroll in basic rewards program
CUST_000758,Loyalty Rewards Program,Normal,5,Enroll in basic rewards program
CUST_000759,Immediate Retention Call,Critical,21,Address payment issues - offer alternative payment methods
CUST_000760,Loyalty Rewards Program,Normal,5,Enroll in enterprise loyalty program
CUST_000761,Loyalty Rewards Program,Normal,6,Enroll in VIP loyalty rewards program
CUST_000762,Loyalty Rewards Program,Normal,5,Enroll in basic rewards program
CUST_000763,Immediate Retention Call,Critical,20,Re-engagement campaign - 302 days inactive
CUST_000764,Loyalty Rewards Program,Normal,5,Address payment issues - offer alternative payment methods
CUST_000765,Loyalty Rewards Program,Normal,5,Enroll in loyalty points program
CUST_000766,Immediate Retention Call,Critical,20,Address payment issues - offer alternative payment methods
CUST_000767,Loyalty Rewards Program,Normal,5,Enroll in basic rewards program
CUST_000768,Loyalty Rewards Program,Normal,5,Enroll in basic rewards program
CUST_000769,Loyalty Rewards Program,Normal,5,Enroll in loyalty points program
CUST_000770,Loyalty Rewards Program,Normal,5,Enroll in loyalty points program
CUST_000771,Immediate Retention Call,Critical,20,Re-engagement campaign - 266 days inactive
CUST_000772,Loyalty Rewards Program,Normal,5,Enroll in basic rewards program
CUST_000773,Loyalty Rewards Program,Normal,5,Enroll in loyalty points program
CUST_000774,Loyalty Rewards Program,Normal,5,Enroll in loyalty points program
CUST_000775,Loyalty Rewards Program,Normal,5,Enroll in loyalty points program
CUST_000776,Loyalty Rewards Program,Normal,5,Enroll in loyalty points program
CUST_000777,Loyalty Rewards Program,Normal,5,Enroll in enterprise loyalty program
CUST_000778,Loyalty Rewards Program,Normal,5,Enroll in basic rewards program
CUST_000779,Loyalty Rewards Program,Normal,5,Address payment issues - offer alternative payment methods
CUST_000780,Loyalty Rewards Program,Normal,5,Enroll in enterprise loyalty program
CUST_000781,Loyalty Rewards Program,Normal,5,Enroll in basic rewards program
CUST_000782,Loyalty Rewards Program,Normal,5,Enroll in basic rewards program
CUST_000783,Loyalty Rewards Program,Normal,5,Enroll in loyalty points program
CUST_000784,Loyalty Rewards Program,Normal,5,Enroll in basic rewards program
CUST_000785,Loyalty Rewards Program,Normal,5,Enroll in loyalty points program
CUST_000786,Loyalty Rewards Program,Normal,5,Enroll in basic rewards program
CUST_000787,Targeted Engagement Email,High,10,Schedule quarterly business review
CUST_000788,Loyalty Rewards Program,Normal,5,Enroll in basic rewards program
CUST_000789,Loyalty Rewards Program,Normal,5,Enroll in loyalty points program
CUST_000790,Immediate Retention Call,Critical,20,Re-engagement campaign - 339 days inactive
CUST_000791,Loyalty Rewards Program,Normal,5,Enroll in basic rewards program
CUST_000792,Loyalty Rewards Program,Normal,5,Enroll in loyalty points program
CUST_000793,Immediate Retention Call,Critical,20,Re-engagement campaign - 278 days inactive
CUST_000794,Immediate Retention Call,Critical,20,Address payment issues - offer alternative payment methods
CUST_000795,Loyalty Rewards Program,Normal,5,Enroll in loyalty points program
CUST_000796,Loyalty Rewards Program,Normal,5,Enroll in VIP loyalty rewards program
CUST_000797,Loyalty Rewards Program,Normal,5,Enroll in basic rewards program
CUST_000798,Loyalty Rewards Program,Normal,5,Enroll in loyalty points program
CUST_000799,Loyalty Rewards Program,Normal,5,Enroll in basic rewards program
CUST_000800,Loyalty Rewards Program,Normal,5,Enroll in enterprise loyalty program
CUST_000801,Immediate Retention Call,Critical,20,Address payment issues - offer alternative payment methods
CUST_000802,Loyalty Rewards Program,Normal,5,Enroll in basic rewards program
CUST_000803,Loyalty Rewards Program,Normal,5,Enroll in loyalty points program
CUST_000804,Loyalty Rewards Program,Normal,5,Enroll in enterprise loyalty program
CUST_000805,Immediate Retention Call,Critical,20,Re-engagement campaign - 183 days inactive
CUST_000806,Loyalty Rewards Program,Normal,5,Enroll in loyalty points program
CUST_000807,Loyalty Rewards Program,Normal,5,Address payment issues - offer alternative payment methods
CUST_000808,Loyalty Rewards Program,Normal,5,Enroll in loyalty points program
CUST_000809,Loyalty Rewards Program,Normal,5,Enroll in loyalty points program
CUST_000810,Loyalty Rewards Program,Normal,5,Enroll in loyalty points program
CUST_000811,Loyalty Rewards Program,Normal,5,Address payment issues - offer alternative payment methods
CUST_000812,Loyalty Rewards Program,Normal,5,Enroll in VIP loyalty rewards program
CUST_000813,Loyalty Rewards Program,Normal,5,Enroll in loyalty points program
CUST_000814,Immediate Retention Call,Critical,20,Address payment issues - offer alternative payment methods
CUST_000815,Immediate Retention Call,Critical,20,Re-engagement campaign - 199 days inactive
CUST_000816,Loyalty Rewards Program,Normal,5,Enroll in basic rewards program
CUST_000817,Loyalty Rewards Program,Normal,5,Enroll in enterprise loyalty program
CUST_000818,Loyalty Rewards Program,Normal,5,Enroll in basic rewards program
CUST_000819,Loyalty Rewards Program,Normal,5,Enroll in basic rewards program
CUST_000820,Loyalty Rewards Program,Normal,5,Enroll in enterprise loyalty program
CUST_000821,Loyalty Rewards Program,Normal,5,Enroll in enterprise loyalty program
CUST_000822,Loyalty Rewards Program,Normal,5,Enroll in loyalty points program
CUST_000823,Loyalty Rewards Program,Normal,5,Enroll in enterprise loyalty program
CUST_000824,Loyalty Rewards Program,Normal,5,Enroll in enterprise loyalty program
CUST_000825,Loyalty Rewards Program,Normal,5,Enroll in loyalty points program
CUST_000826,Loyalty Rewards Program,Normal,5,Enroll in basic rewards program
CUST_000827,Loyalty Rewards Program,Normal,5,Enroll in basic rewards program
CUST_000828,Immediate Retention Call,Critical,21,Re-engagement campaign - 221 days inactive
CUST_000829,Loyalty Rewards Program,Normal,5,Enroll in basic rewards program
CUST_000830,Loyalty Rewards Program,Normal,5,Enroll in loyalty points program
CUST_000831,Loyalty Rewards Program,Normal,5,Enroll in loyalty points program
CUST_000832,Loyalty Rewards Program,Normal,5,Enroll in loyalty points program
CUST_000833,Loyalty Rewards Program,Normal,5,Enroll in enterprise loyalty program
CUST_000834,Loyalty Rewards Program,Normal,6,Enroll in VIP loyalty rewards program
CUST_000835,Loyalty Rewards Program,Normal,5,Enroll in enterprise loyalty program
CUST_000836,Immediate Retention Call,Critical,20,Address payment issues - offer alternative payment methods
CUST_000837,Loyalty Rewards Program,Normal,5,Address payment issues - offer alternative payment methods
CUST_000838,Loyalty Rewards Program,Normal,5,Enroll in basic rewards program
CUST_000839,Immediate Retention Call,Critical,20,Address payment issues - offer alternative payment methods
CUST_000840,Loyalty Rewards Program,Normal,5,Enroll in loyalty points program
CUST_000841,Loyalty Rewards Program,Normal,5,Enroll in VIP loyalty rewards program
CUST_000842,Loyalty Rewards Program,Normal,5,Address payment issues - offer alternative payment methods
CUST_000843,Loyalty Rewards Program,Normal,5,Address payment issues - offer alternative payment methods
CUST_000844,Loyalty Rewards Program,Normal,5,Enroll in loyalty points program
CUST_000845,Loyalty Rewards Program,Normal,5,Enroll in enterprise loyalty program
CUST_000846,Loyalty Rewards Program,Normal,5,Enroll in loyalty points program
CUST_000847,Loyalty Rewards Program,Normal,5,Address payment issues - offer alternative payment methods
CUST_000848,Immediate Retention Call,Critical,20,Re-engagement campaign - 237 days inactive
CUST_000849,Loyalty Rewards Program,Normal,5,Enroll in basic rewards program
CUST_000850,Loyalty Rewards Program,Normal,5,Enroll in loyalty points program
CUST_000851,Loyalty Rewards Program,Normal,5,Enroll in loyalty points program
CUST_000852,Loyalty Rewards Program,Normal,5,Enroll in loyalty points program
CUST_000853,Loyalty Rewards Program,Normal,5,Enroll in basic rewards program
CUST_000854,Loyalty Rewards Program,Normal,5,Enroll in basic rewards program
CUST_000855,Loyalty Rewards Program,Normal,5,Enroll in loyalty points program
CUST_000856,Loyalty Rewards Program,Normal,5,Enroll in basic rewards program
CUST_000857,Loyalty Rewards Program,Normal,5,Enroll in loyalty points program
CUST_000858,Loyalty Rewards Program,Normal,6,Enroll in VIP loyalty rewards program
CUST_000859,Loyalty Rewards Program,Normal,5,Enroll in loyalty points program
CUST_000860,Loyalty Rewards Program,Normal,5,Enroll in basic rewards program
CUST_000861,Loyalty Rewards Program,Normal,5,Enroll in basic rewards program
CUST_000862,Loyalty Rewards Program,Normal,5,Enroll in basic rewards program
CUST_000863,Loyalty Rewards Program,Normal,5,Enroll in basic rewards program
CUST_000864,Loyalty Rewards Program,Normal,6,Enroll in VIP loyalty rewards program
CUST_000865,Immediate Retention Call,Critical,20,Re-engagement campaign - 110 days inactive
CUST_000866,Immediate Retention Call,Critical,20,Re-engagement campaign - 258 days inactive
CUST_000867,Loyalty Rewards Program,Normal,5,Enroll in loyalty points program
CUST_000868,Loyalty Rewards Program,Normal,5,Enroll in enterprise loyalty program
CUST_000869,Loyalty Rewards Program,Normal,5,Enroll in basic rewards program
CUST_000870,Loyalty Rewards Program,Normal,5,Enroll in loyalty points program
CUST_000871,Loyalty Rewards Program,Normal,5,Enroll in loyalty points program
CUST_000872,Loyalty Rewards Program,Normal,5,Enroll in basic rewards program
CUST_000873,Loyalty Rewards Program,Normal,5,Address payment issues - offer alternative payment methods
CUST_000874,Loyalty Rewards Program,Normal,5,Enroll in basic rewards program
CUST_000875,Loyalty Rewards Program,Normal,5,Enroll in basic rewards program
CUST_000876,Loyalty Rewards Program,Normal,5,Enroll in basic rewards program
CUST_000877,Loyalty Rewards Program,Normal,5,Enroll in basic rewards program
CUST_000878,Loyalty Rewards Program,Normal,5,Enroll in enterprise loyalty program
CUST_000879,Loyalty Rewards Program,Normal,5,Address payment issues - offer alternative payment methods
CUST_000880,Loyalty Rewards Program,Normal,5,Address payment issues - offer alternative payment methods
CUST_000881,Loyalty Rewards Program,Normal,5,Enroll in enterprise loyalty program
CUST_000882,Loyalty Rewards Program,Normal,5,Enroll in loyalty points program
CUST_000883,Loyalty Rewards Program,Normal,5,Enroll in basic rewards program
CUST_000884,Loyalty Rewards Program,Normal,5,Enroll in loyalty points program
CUST_000885,Loyalty Rewards Program,Normal,5,Enroll in basic rewards program
CUST_000886,Loyalty Rewards Program,Normal,5,Enroll in enterprise loyalty program
CUST_000887,Loyalty Rewards Program,Normal,6,Enroll in VIP loyalty rewards program
CUST_000888,Loyalty Rewards Program,Normal,5,Enroll in basic rewards program
CUST_000889,Loyalty Rewards Program,Normal,5,Enroll in loyalty points program
CUST_000890,Loyalty Rewards Program,Normal,5,Enroll in enterprise loyalty program
CUST_000891,Immediate Retention Call,Critical,20,Address payment issues - offer alternative payment methods
CUST_000892,Loyalty Rewards Program,Normal,5,Enroll in loyalty points program
CUST_000893,Loyalty Rewards Program,Normal,5,Address payment issues - offer alternative payment methods
CUST_000894,Loyalty Rewards Program,Normal,5,Address payment issues - offer alternative payment methods
CUST_000895,Loyalty Rewards Program,Normal,5,Enroll in loyalty points program
CUST_000896,Immediate Retention Call,Critical,20,Re-engagement campaign - 210 days inactive
CUST_000897,Loyalty Rewards Program,Normal,5,Enroll in loyalty points program
CUST_000898,Loyalty Rewards Program,Normal,5,Enroll in basic rewards program
CUST_000899,Immediate Retention Call,Critical,20,Re-engagement campaign - 356 days inactive
CUST_000900,Immediate Retention Call,Critical,20,Re-engagement campaign - 267 days inactive
CUST_000901,Loyalty Rewards Program,Normal,5,Enroll in loyalty points program
CUST_000902,Loyalty Rewards Program,Normal,5,Address payment issues - offer alternative payment methods
CUST_000903,Loyalty Rewards Program,Normal,5,Enroll in enterprise loyalty program
CUST_000904,Loyalty Rewards Program,Normal,5,Enroll in basic rewards program
CUST_000905,Loyalty Rewards Program,Normal,5,Enroll in basic rewards program
CUST_000906,Loyalty Rewards Program,Normal,5,Enroll in enterprise loyalty program
CUST_000907,Immediate Retention Call,Critical,20,Re-engagement campaign - 264 days inactive
CUST_000908,Immediate Retention Call,Critical,21,Re-engagement campaign - 326 days inactive
CUST_000909,Loyalty Rewards Program,Normal,5,Enroll in enterprise loyalty program
CUST_000910,Loyalty Rewards Program,Normal,5,Enroll in basic rewards program
CUST_000911,Loyalty Rewards Program,Normal,5,Address payment issues - offer alternative payment methods
CUST_000912,Loyalty Rewards Program,Normal,5,Enroll in enterprise loyalty program
CUST_000913,Loyalty Rewards Program,Normal,5,Enroll in loyalty points program
CUST_000914,Loyalty Rewards Program,Normal,5,Enroll in VIP loyalty rewards program
CUST_000915,Loyalty Rewards Program,Normal,5,Enroll in basic rewards program
CUST_000916,Loyalty Rewards Program,Normal,5,Enroll in loyalty points program
CUST_000917,Loyalty Rewards Program,Normal,5,Enroll in loyalty points program
CUST_000918,Loyalty Rewards Program,Normal,5,Enroll in loyalty points program
CUST_000919,Loyalty Rewards Program,Normal,5,Enroll in basic rewards program
CUST_000920,Loyalty Rewards Program,Normal,5,Enroll in basic rewards program
CUST_000921,Loyalty Rewards Program,Normal,5,Enroll in loyalty points program
CUST_000922,Loyalty Rewards Program,Normal,5,Enroll in loyalty points program
CUST_000923,Loyalty Rewards Program,Normal,5,Enroll in basic rewards program
CUST_000924,Loyalty Rewards Program,Normal,5,Enroll in basic rewards program
CUST_000925,Loyalty Rewards Program,Normal,5,Enroll in loyalty points program
CUST_000926,Loyalty Rewards Program,Normal,5,Enroll in enterprise loyalty program
CUST_000927,Loyalty Rewards Program,Normal,5,Enroll in enterprise loyalty program
CUST_000928,Loyalty Rewards Program,Normal,5,Enroll in basic rewards program
CUST_000929,Loyalty Rewards Program,Normal,5,Enroll in loyalty points program
CUST_000930,Loyalty Rewards Program,Normal,5,Enroll in loyalty points program
CUST_000931,Loyalty Rewards Program,Normal,5,Enroll in loyalty points program
CUST_000932,Loyalty Rewards Program,Normal,5,Enroll in loyalty points program
CUST_000933,Loyalty Rewards Program,Normal,5,Enroll in VIP loyalty rewards program
CUST_000934,Immediate Retention Call,Critical,20,Re-engagement campaign - 243 days inactive
CUST_000935,Loyalty Rewards Program,Normal,5,Enroll in loyalty points program
CUST_000936,Loyalty Rewards Program,Normal,5,Enroll in basic rewards program
CUST_000937,Loyalty Rewards Program,Normal,5,Enroll in enterprise loyalty program
CUST_000938,Loyalty Rewards Program,Normal,5,Enroll in loyalty points program
CUST_000939,Loyalty Rewards Program,Normal,5,Enroll in loyalty points program
CUST_000940,Loyalty Rewards Program,Normal,5,Enroll in loyalty points program
CUST_000941,Loyalty Rewards Program,Normal,5,Enroll in enterprise loyalty program
CUST_000942,Loyalty Rewards Program,Normal,5,Enroll in enterprise loyalty program
CUST_000943,Loyalty Rewards Program,Normal,5,Enroll in loyalty points program
CUST_000944,Loyalty Rewards Program,Normal,5,Enroll in basic rewards program
CUST_000945,Loyalty Rewards Program,Normal,5,Enroll in VIP loyalty rewards program
CUST_000946,Loyalty Rewards Program,Normal,5,Enroll in loyalty points program
CUST_000947,Loyalty Rewards Program,Normal,5,Enroll in basic rewards program
CUST_000948,Loyalty Rewards Program,Normal,5,Enroll in loyalty points program
CUST_000949,Loyalty Rewards Program,Normal,5,Enroll in basic rewards program
CUST_000950,Loyalty Rewards Program,Normal,5,Enroll in enterprise loyalty program
